SKU,Retail Price,Unit of Measure,Region,Meter,Product Name
Standard_NV16as_v4,1.668,1 Hour,westus3,NV16as v4,Virtual Machines NVasv4 Series Windows
Standard_ND96amsr_A100_v4,14.874,1 Hour,westus3,ND96amsr A100 v4 Low Priority,Virtual Machines NDamsr A100 v4 Series Windows
Standard_NV12ads_A10_v5,0.908,1 Hour,westus3,NV12ads A10 v5,Virtual Machines NVadsA10v5 Series
Standard_NC6s_v3,3.336,1 Hour,westus3,NC6s v3,Virtual Machines NCSv3 Series Windows
Standard_NV32as_v4,1.334,1 Hour,westus3,NV32as v4 Low Priority,Virtual Machines NVasv4 Series Windows
Standard_NC12s_v3,1.224,1 Hour,westus3,NC12s v3 Low Priority,Virtual Machines NCSv3 Series
Standard_NG16ads_V620_v1,1.17,1 Hour,westus3,NG16adsV620 Low Priority,Virtual Machines NGadsV620v1 Series Windows
Standard_NC16ads_A10_v4,2.2,1 Hour,westus3,NC16ads_A10_v4,Virtual Machines NCadsA10v4 Series
Standard_ND96asr_A100_v4,9.034995,1 Hour,westus3,ND96asr A100 v4 Spot,Virtual Machines NDasr A100 v4 Series Windows
Standard_NC24rs_v3,6.195638,1 Hour,westus3,NC24rs v3 Spot,Virtual Machines NCSv3 Series
Standard_NC4as_T4_v3,0.526,1 Hour,westus3,NC4as T4 v3,Virtual Machines NCasT4 v3 Series
Standard_NG32adms_V620,2.8664,1 Hour,westus3,NG32admsV620 Spot,Virtual Machines NGadsV620v1 Series Windows
Standard_NC48ads_A100_v4,2.321336,1 Hour,westus3,NC48ads_A100_v4 Spot,NCads A100 v4 Series Linux
Standard_NC24s_v3,2.448,1 Hour,westus3,NC24s v3 Low Priority,Virtual Machines NCSv3 Series
Standard_NC16as_T4_v3,1.204,1 Hour,westus3,NC16asT4 v3,Virtual Machines NCasT4 v3 Series
Standard_NV4as_v4,0.233,1 Hour,westus3,NV4as v4,Virtual Machines NVasv4 Series
Standard_NC8as_T4_v3,0.15,1 Hour,westus3,NC8as T4 v3 Low Priority,Virtual Machines NCasT4 v3 Series
Standard_NV12ads_A10_v5,1.46,1 Hour,westus3,NV12ads A10 v5,Virtual Machines NVadsA10v5 Series Windows
Standard_NV32as_v4,1.864,1 Hour,westus3,NV32as v4,Virtual Machines NVasv4 Series
Standard_NG32ads_V620_v1,1.752,1 Hour,westus3,NG32adsV620 Spot,Virtual Machines NGadsV620v1 Series
Standard_NG16ads_V620_v1,2.926,1 Hour,westus3,NG16adsV620,Virtual Machines NGadsV620v1 Series Windows
Standard_NC8ads_A10_v4,0.587,1 Hour,westus3,NC8ads_A10_v4 Low Priority,Virtual Machines NCadsA10v4 Series Windows
